w0,n,mle
1,1,1.0067654639175258e-05
10,1,1.0067654639175258e-05
11,1,1.0067654639175258e-05
118,1,1.0067654639175258e-05
12,1,1.0067654639175258e-05
13,1,1.0067654639175258e-05
14,1,1.0067654639175258e-05
15,1,1.0067654639175258e-05
16,1,1.0067654639175258e-05
17,1,1.0067654639175258e-05
17th,1,1.0067654639175258e-05
18,1,1.0067654639175258e-05
1832,1,1.0067654639175258e-05
19,1,1.0067654639175258e-05
1905,1,1.0067654639175258e-05
1918,1,1.0067654639175258e-05
1st,1,1.0067654639175258e-05
2,1,1.0067654639175258e-05
20th,1,1.0067654639175258e-05
2432,1,1.0067654639175258e-05
24th,1,1.0067654639175258e-05
25th,4,4.027061855670103e-05
3,2,2.0135309278350515e-05
30,1,1.0067654639175258e-05
4,1,1.0067654639175258e-05
5,1,1.0067654639175258e-05
6,1,1.0067654639175258e-05
60,2,2.0135309278350515e-05
6th,1,1.0067654639175258e-05
7,1,1.0067654639175258e-05
8,1,1.0067654639175258e-05
9,1,1.0067654639175258e-05
</s>,10342,0.10411968427835051
<s>,20684,0.20823936855670103
a,1534,0.015443782216494846
abandoned,1,1.0067654639175258e-05
able,6,6.040592783505155e-05
abnormal,1,1.0067654639175258e-05
about,218,0.002194748711340206
above,17,0.00017115012886597937
abraham,1,1.0067654639175258e-05
absinthe,10,0.00010067654639175257
absolute,2,2.0135309278350515e-05
absolutely,11,0.00011074420103092783
absorbed,3,3.0202963917525774e-05
abyssinia,1,1.0067654639175258e-05
accent,2,2.0135309278350515e-05
accept,1,1.0067654639175258e-05
accepted,1,1.0067654639175258e-05
accident,1,1.0067654639175258e-05
accidental,1,1.0067654639175258e-05
acclamation,1,1.0067654639175258e-05
accordingly,1,1.0067654639175258e-05
accordion,3,3.0202963917525774e-05
account,1,1.0067654639175258e-05
accounts,1,1.0067654639175258e-05
ace,1,1.0067654639175258e-05
acetylene,1,1.0067654639175258e-05
ache,2,2.0135309278350515e-05
acquired,1,1.0067654639175258e-05
acres,1,1.0067654639175258e-05
across,58,0.0005839239690721649
act,2,2.0135309278350515e-05
acted,2,2.0135309278350515e-05
action,4,4.027061855670103e-05
actions,1,1.0067654639175258e-05
actively,1,1.0067654639175258e-05
actual,2,2.0135309278350515e-05
actually,2,2.0135309278350515e-05
add,4,4.027061855670103e-05
added,2,2.0135309278350515e-05
address,9,9.060889175257732e-05
adjusted,1,1.0067654639175258e-05
advance,3,3.0202963917525774e-05
advantage,1,1.0067654639175258e-05
adventure,1,1.0067654639175258e-05
adventures,1,1.0067654639175258e-05
advertised,1,1.0067654639175258e-05
advice,2,2.0135309278350515e-05
advise,1,1.0067654639175258e-05
advised,1,1.0067654639175258e-05
advisory,1,1.0067654639175258e-05
affair,1,1.0067654639175258e-05
affairs,2,2.0135309278350515e-05
affection,1,1.0067654639175258e-05
affectionately,1,1.0067654639175258e-05
afford,1,1.0067654639175258e-05
aficion,7,7.04735824742268e-05
aficionado,6,6.040592783505155e-05
aficionados,3,3.0202963917525774e-05
afraid,10,0.00010067654639175257
africa,1,1.0067654639175258e-05
after,84,0.0008456829896907217
afternoon,13,0.00013087951030927835
afterward,15,0.00015101481958762887
again,80,0.0008054123711340206
against,56,0.0005637886597938144
age,1,1.0067654639175258e-05
agency,1,1.0067654639175258e-05
ago,9,9.060889175257732e-05
agreed,4,4.027061855670103e-05
aguardiente,2,2.0135309278350515e-05
ah,1,1.0067654639175258e-05
ahead,34,0.00034230025773195874
aint,1,1.0067654639175258e-05
air,7,7.04735824742268e-05
alcohol,1,1.0067654639175258e-05
alexander,1,1.0067654639175258e-05
algabeno,3,3.0202963917525774e-05
alger,1,1.0067654639175258e-05
alimony,1,1.0067654639175258e-05
alive,1,1.0067654639175258e-05
all,435,0.004379429768041237
allowance,2,2.0135309278350515e-05
almost,9,9.060889175257732e-05
alone,17,0.00017115012886597937
along,68,0.0006846005154639175
alongside,1,1.0067654639175258e-05
aloysius,2,2.0135309278350515e-05
alps,1,1.0067654639175258e-05
already,7,7.04735824742268e-05
alsace,1,1.0067654639175258e-05
also,5,5.0338273195876286e-05
alta,3,3.0202963917525774e-05
altar,1,1.0067654639175258e-05
alter,1,1.0067654639175258e-05
although,5,5.0338273195876286e-05
altogether,3,3.0202963917525774e-05
always,68,0.0006846005154639175
am,16,0.00016108247422680412
amateurs,2,2.0135309278350515e-05
amazing,3,3.0202963917525774e-05
ambassador,3,3.0202963917525774e-05
america,17,0.00017115012886597937
american,13,0.00013087951030927835
americans,8,8.054123711340206e-05
among,8,8.054123711340206e-05
amontillado,1,1.0067654639175258e-05
amorous,1,1.0067654639175258e-05
amount,4,4.027061855670103e-05
amphitheatre,2,2.0135309278350515e-05
amused,1,1.0067654639175258e-05
amusing,6,6.040592783505155e-05
an,119,0.0011980509020618558
anatole,1,1.0067654639175258e-05
and,2287,0.023024726159793816
angel,1,1.0067654639175258e-05
angeles,1,1.0067654639175258e-05
angered,1,1.0067654639175258e-05
angle,1,1.0067654639175258e-05
angles,1,1.0067654639175258e-05
angling,1,1.0067654639175258e-05
angry,9,9.060889175257732e-05
animals,5,5.0338273195876286e-05
anis,4,4.027061855670103e-05
ankles,1,1.0067654639175258e-05
announce,1,1.0067654639175258e-05
announced,2,2.0135309278350515e-05
announcement,2,2.0135309278350515e-05
announcements,1,1.0067654639175258e-05
announcing,1,1.0067654639175258e-05
another,79,0.0007953447164948454
answer,3,3.0202963917525774e-05
answered,6,6.040592783505155e-05
answers,2,2.0135309278350515e-05
anti,2,2.0135309278350515e-05
antiquities,2,2.0135309278350515e-05
anxious,4,4.027061855670103e-05
any,125,0.0012584568298969073
anybody,21,0.00021142074742268042
anyhow,3,3.0202963917525774e-05
anything,65,0.0006543975515463917
anyway,22,0.00022148840206185567
anywaymust,1,1.0067654639175258e-05
anywhere,9,9.060889175257732e-05
apart,4,4.027061855670103e-05
apertures,1,1.0067654639175258e-05
apiece,5,5.0338273195876286e-05
apologetically,1,1.0067654639175258e-05
apologized,1,1.0067654639175258e-05
apparent,1,1.0067654639175258e-05
appearance,2,2.0135309278350515e-05
appearances,1,1.0067654639175258e-05
appeared,3,3.0202963917525774e-05
applauded,1,1.0067654639175258e-05
applauding,1,1.0067654639175258e-05
applause,2,2.0135309278350515e-05
apple,1,1.0067654639175258e-05
appointments,1,1.0067654639175258e-05
apportioned,1,1.0067654639175258e-05
appreciated,1,1.0067654639175258e-05
apron,5,5.0338273195876286e-05
apéritif,1,1.0067654639175258e-05
arc,4,4.027061855670103e-05
arcade,15,0.00015101481958762887
arcades,3,3.0202963917525774e-05
archives,2,2.0135309278350515e-05
archivist,1,1.0067654639175258e-05
ardennes,1,1.0067654639175258e-05
are,93,0.000936291881443299
arena,2,2.0135309278350515e-05
arent,21,0.00021142074742268042
arga,1,1.0067654639175258e-05
argue,1,1.0067654639175258e-05
aristocracy,1,1.0067654639175258e-05
arm,17,0.00017115012886597937
armed,1,1.0067654639175258e-05
armistice,1,1.0067654639175258e-05
armoire,2,2.0135309278350515e-05
arms,19,0.0001912854381443299
army,1,1.0067654639175258e-05
around,102,0.0010269007731958763
arranged,5,5.0338273195876286e-05
arranging,2,2.0135309278350515e-05
arrested,2,2.0135309278350515e-05
arresting,1,1.0067654639175258e-05
arriba,3,3.0202963917525774e-05
arriero,1,1.0067654639175258e-05
arrived,2,2.0135309278350515e-05
arriving,4,4.027061855670103e-05
arrobas,2,2.0135309278350515e-05
arrow,2,2.0135309278350515e-05
artists,1,1.0067654639175258e-05
arts,1,1.0067654639175258e-05
as,219,0.0022048163659793814
ash,2,2.0135309278350515e-05
ashamed,7,7.04735824742268e-05
ashes,1,1.0067654639175258e-05
ashley,16,0.00016108247422680412
ashore,2,2.0135309278350515e-05
aside,1,1.0067654639175258e-05
ask,23,0.00023155605670103092
asked,147,0.0014799452319587628
asking,5,5.0338273195876286e-05
asks,1,1.0067654639175258e-05
asleep,12,0.0001208118556701031
asphalt,1,1.0067654639175258e-05
ass,13,0.00013087951030927835
assault,1,1.0067654639175258e-05
assimilated,1,1.0067654639175258e-05
assistant,1,1.0067654639175258e-05
association,1,1.0067654639175258e-05
assure,1,1.0067654639175258e-05
astonished,1,1.0067654639175258e-05
at,476,0.004792203608247423
ate,13,0.00013087951030927835
atmosphere,1,1.0067654639175258e-05
attack,1,1.0067654639175258e-05
attacks,1,1.0067654639175258e-05
attempt,1,1.0067654639175258e-05
attention,2,2.0135309278350515e-05
attitude,2,2.0135309278350515e-05
attracted,1,1.0067654639175258e-05
attraction,1,1.0067654639175258e-05
attractive,2,2.0135309278350515e-05
audience,1,1.0067654639175258e-05
august,1,1.0067654639175258e-05
austin,1,1.0067654639175258e-05
authority,2,2.0135309278350515e-05
aux,1,1.0067654639175258e-05
available,1,1.0067654639175258e-05
avenue,5,5.0338273195876286e-05
avenues,1,1.0067654639175258e-05
avila,1,1.0067654639175258e-05
avoid,3,3.0202963917525774e-05
avoided,2,2.0135309278350515e-05
aw,1,1.0067654639175258e-05
awake,4,4.027061855670103e-05
aware,1,1.0067654639175258e-05
away,78,0.0007852770618556701
awful,13,0.00013087951030927835
awfully,15,0.00015101481958762887
awkward,2,2.0135309278350515e-05
awkwardly,2,2.0135309278350515e-05
awnings,1,1.0067654639175258e-05
awoke,1,1.0067654639175258e-05
ayuntamiento,2,2.0135309278350515e-05
b,2,2.0135309278350515e-05
back,191,0.0019229220360824743
backed,4,4.027061855670103e-05
backing,1,1.0067654639175258e-05
backingyou,1,1.0067654639175258e-05
backs,2,2.0135309278350515e-05
backward,1,1.0067654639175258e-05
bacon,1,1.0067654639175258e-05
bad,44,0.00044297680412371134
badly,19,0.0001912854381443299
bag,24,0.0002416237113402062
baggage,5,5.0338273195876286e-05
bags,26,0.0002617590206185567
bait,3,3.0202963917525774e-05
baited,2,2.0135309278350515e-05
baiting,1,1.0067654639175258e-05
baize,1,1.0067654639175258e-05
baked,5,5.0338273195876286e-05
baking,1,1.0067654639175258e-05
bal,4,4.027061855670103e-05
balance,3,3.0202963917525774e-05
balconies,3,3.0202963917525774e-05
balcony,10,0.00010067654639175257
ball,2,2.0135309278350515e-05
balloon,1,1.0067654639175258e-05
balloons,3,3.0202963917525774e-05
balls,4,4.027061855670103e-05
bamboo,1,1.0067654639175258e-05
bananas,4,4.027061855670103e-05
band,4,4.027061855670103e-05
bandaged,1,1.0067654639175258e-05
banderillero,1,1.0067654639175258e-05
banderilleros,1,1.0067654639175258e-05
bands,3,3.0202963917525774e-05
banged,3,3.0202963917525774e-05
banjo,1,1.0067654639175258e-05
bank,7,7.04735824742268e-05
bankers,1,1.0067654639175258e-05
bankrupt,9,9.060889175257732e-05
bankrupts,1,1.0067654639175258e-05
banks,1,1.0067654639175258e-05
banner,3,3.0202963917525774e-05
banners,2,2.0135309278350515e-05
bar,43,0.00043290914948453606
barber,4,4.027061855670103e-05
barbering,1,1.0067654639175258e-05
barbers,1,1.0067654639175258e-05
barcelona,1,1.0067654639175258e-05
bare,6,6.040592783505155e-05
barely,1,1.0067654639175258e-05
bargemen,1,1.0067654639175258e-05
