w0,w1,n,mle
1,</s>,1,1.0067755997865636e-05
10,</s>,1,1.0067755997865636e-05
11,</s>,1,1.0067755997865636e-05
118,of,1,1.0067755997865636e-05
12,</s>,1,1.0067755997865636e-05
13,</s>,1,1.0067755997865636e-05
14,</s>,1,1.0067755997865636e-05
15,</s>,1,1.0067755997865636e-05
16,</s>,1,1.0067755997865636e-05
17,</s>,1,1.0067755997865636e-05
17th,</s>,1,1.0067755997865636e-05
18,</s>,1,1.0067755997865636e-05
1832,</s>,1,1.0067755997865636e-05
19,</s>,1,1.0067755997865636e-05
1905,</s>,1,1.0067755997865636e-05
1918,and,1,1.0067755997865636e-05
1st,of,1,1.0067755997865636e-05
2,</s>,1,1.0067755997865636e-05
20th,of,1,1.0067755997865636e-05
2432,</s>,1,1.0067755997865636e-05
24th,of,1,1.0067755997865636e-05
25th,</s>,3,3.0203267993596907e-05
25th,unless,1,1.0067755997865636e-05
3,</s>,1,1.0067755997865636e-05
3,days,1,1.0067755997865636e-05
30,centimes,1,1.0067755997865636e-05
4,</s>,1,1.0067755997865636e-05
5,</s>,1,1.0067755997865636e-05
6,</s>,1,1.0067755997865636e-05
60,</s>,2,2.0135511995731273e-05
6th,of,1,1.0067755997865636e-05
7,</s>,1,1.0067755997865636e-05
8,</s>,1,1.0067755997865636e-05
9,</s>,1,1.0067755997865636e-05
</s>,<s>,10341,0.10411066477392854
<s>,1,1,1.0067755997865636e-05
<s>,10,1,1.0067755997865636e-05
<s>,11,1,1.0067755997865636e-05
<s>,12,1,1.0067755997865636e-05
<s>,13,1,1.0067755997865636e-05
<s>,14,1,1.0067755997865636e-05
<s>,15,1,1.0067755997865636e-05
<s>,16,1,1.0067755997865636e-05
<s>,17,1,1.0067755997865636e-05
<s>,18,1,1.0067755997865636e-05
<s>,19,1,1.0067755997865636e-05
<s>,2,1,1.0067755997865636e-05
<s>,3,1,1.0067755997865636e-05
<s>,4,1,1.0067755997865636e-05
<s>,5,1,1.0067755997865636e-05
<s>,6,1,1.0067755997865636e-05
<s>,60,2,2.0135511995731273e-05
<s>,7,1,1.0067755997865636e-05
<s>,8,1,1.0067755997865636e-05
<s>,9,1,1.0067755997865636e-05
<s>,</s>,2163,0.02177655622338337
<s>,<s>,10342,0.1041207325299264
<s>,a,51,0.0005134555558911475
<s>,about,6,6.0406535987193814e-05
<s>,above,3,3.0203267993596907e-05
<s>,abraham,1,1.0067755997865636e-05
<s>,absolutely,4,4.0271023991462545e-05
<s>,across,6,6.0406535987193814e-05
<s>,aficion,1,1.0067755997865636e-05
<s>,after,24,0.00024162614394877526
<s>,afterward,4,4.0271023991462545e-05
<s>,ah,1,1.0067755997865636e-05
<s>,ahead,4,4.0271023991462545e-05
<s>,algabeno,1,1.0067755997865636e-05
<s>,all,59,0.0005939976038740725
<s>,aloysius,1,1.0067755997865636e-05
<s>,already,1,1.0067755997865636e-05
<s>,also,3,3.0203267993596907e-05
<s>,although,1,1.0067755997865636e-05
<s>,always,6,6.0406535987193814e-05
<s>,am,1,1.0067755997865636e-05
<s>,amazing,1,1.0067755997865636e-05
<s>,american,1,1.0067755997865636e-05
<s>,an,5,5.0338779989328176e-05
<s>,and,57,0.0005738620918783413
<s>,animals,1,1.0067755997865636e-05
<s>,another,4,4.0271023991462545e-05
<s>,any,5,5.0338779989328176e-05
<s>,anybody,2,2.0135511995731273e-05
<s>,anyhow,2,2.0135511995731273e-05
<s>,anything,6,6.0406535987193814e-05
<s>,anyway,2,2.0135511995731273e-05
<s>,anywhere,3,3.0203267993596907e-05
<s>,are,10,0.00010067755997865635
<s>,arent,15,0.00015101633996798453
<s>,around,2,2.0135511995731273e-05
<s>,arriba,3,3.0203267993596907e-05
<s>,arriving,1,1.0067755997865636e-05
<s>,as,27,0.00027182941194237216
<s>,ashley,1,1.0067755997865636e-05
<s>,ask,3,3.0203267993596907e-05
<s>,asked,14,0.0001409485839701189
<s>,at,33,0.00033223594792956596
<s>,aw,1,1.0067755997865636e-05
<s>,awful,2,2.0135511995731273e-05
<s>,awfully,3,3.0203267993596907e-05
<s>,back,8,8.054204798292509e-05
<s>,bad,2,2.0135511995731273e-05
<s>,badly,3,3.0203267993596907e-05
<s>,barmen,1,1.0067755997865636e-05
<s>,barnes,13,0.00013088082797225325
<s>,bartenders,1,1.0067755997865636e-05
<s>,bathing,1,1.0067755997865636e-05
<s>,bayonne,1,1.0067755997865636e-05
<s>,be,6,6.0406535987193814e-05
<s>,beating,1,1.0067755997865636e-05
<s>,beautiful,2,2.0135511995731273e-05
<s>,because,6,6.0406535987193814e-05
<s>,been,2,2.0135511995731273e-05
<s>,before,2,2.0135511995731273e-05
<s>,behind,8,8.054204798292509e-05
<s>,belmonte,11,0.00011074531597652199
<s>,belmontes,1,1.0067755997865636e-05
<s>,below,5,5.0338779989328176e-05
<s>,besides,1,1.0067755997865636e-05
<s>,better,6,6.0406535987193814e-05
<s>,between,2,2.0135511995731273e-05
<s>,beyond,3,3.0203267993596907e-05
<s>,bicycle,1,1.0067755997865636e-05
<s>,big,3,3.0203267993596907e-05
<s>,bill,99,0.0009967078437886979
<s>,bills,3,3.0203267993596907e-05
<s>,bloody,1,1.0067755997865636e-05
<s>,bootblacks,1,1.0067755997865636e-05
<s>,borracho,1,1.0067755997865636e-05
<s>,both,1,1.0067755997865636e-05
<s>,bought,1,1.0067755997865636e-05
<s>,boulevard,1,1.0067755997865636e-05
<s>,boys,2,2.0135511995731273e-05
<s>,braddock,1,1.0067755997865636e-05
<s>,braddocks,17,0.0001711518519637158
<s>,breeding,1,1.0067755997865636e-05
<s>,brett,115,0.001157791939754548
<s>,bretts,14,0.0001409485839701189
<s>,bring,6,6.0406535987193814e-05
<s>,brussels,1,1.0067755997865636e-05
<s>,brute,1,1.0067755997865636e-05
<s>,bryans,1,1.0067755997865636e-05
<s>,budapest,2,2.0135511995731273e-05
<s>,bull,2,2.0135511995731273e-05
<s>,bung,2,2.0135511995731273e-05
<s>,burying,1,1.0067755997865636e-05
<s>,but,64,0.0006443363838634007
<s>,by,7,7.047429198505945e-05
<s>,caffeine,2,2.0135511995731273e-05
<s>,café,1,1.0067755997865636e-05
<s>,call,1,1.0067755997865636e-05
<s>,campbell,5,5.0338779989328176e-05
<s>,campbells,1,1.0067755997865636e-05
<s>,can,5,5.0338779989328176e-05
<s>,cant,9,9.060980398079073e-05
<s>,certainly,3,3.0203267993596907e-05
<s>,cest,1,1.0067755997865636e-05
<s>,chap,2,2.0135511995731273e-05
<s>,chaps,2,2.0135511995731273e-05
<s>,che,2,2.0135511995731273e-05
<s>,cheer,1,1.0067755997865636e-05
<s>,chicken,1,1.0067755997865636e-05
<s>,claimed,2,2.0135511995731273e-05
<s>,clean,1,1.0067755997865636e-05
<s>,clearly,1,1.0067755997865636e-05
<s>,close,2,2.0135511995731273e-05
<s>,closerie,1,1.0067755997865636e-05
<s>,coffee,1,1.0067755997865636e-05
<s>,cohn,46,0.00046311677590181926
<s>,cohns,1,1.0067755997865636e-05
<s>,come,65,0.0006544041398612664
<s>,comfortably,1,1.0067755997865636e-05
<s>,comment,1,1.0067755997865636e-05
<s>,congratulations,1,1.0067755997865636e-05
<s>,connais,1,1.0067755997865636e-05
<s>,could,3,3.0203267993596907e-05
<s>,couldnt,6,6.0406535987193814e-05
<s>,count,1,1.0067755997865636e-05
<s>,crossing,1,1.0067755997865636e-05
<s>,cruise,1,1.0067755997865636e-05
<s>,cut,1,1.0067755997865636e-05
<s>,d,1,1.0067755997865636e-05
<s>,damn,4,4.0271023991462545e-05
<s>,damned,14,0.0001409485839701189
<s>,dancing,1,1.0067755997865636e-05
<s>,darling,5,5.0338779989328176e-05
<s>,dashing,1,1.0067755997865636e-05
<s>,day,1,1.0067755997865636e-05
<s>,dead,1,1.0067755997865636e-05
<s>,dear,2,2.0135511995731273e-05
<s>,den,1,1.0067755997865636e-05
<s>,deserves,1,1.0067755997865636e-05
<s>,did,31,0.0003121004359338347
<s>,didnt,12,0.00012081307197438763
<s>,digging,1,1.0067755997865636e-05
<s>,direct,1,1.0067755997865636e-05
<s>,directly,1,1.0067755997865636e-05
<s>,disgraceful,1,1.0067755997865636e-05
<s>,dites,1,1.0067755997865636e-05
<s>,do,59,0.0005939976038740725
<s>,does,6,6.0406535987193814e-05
<s>,doesnt,6,6.0406535987193814e-05
<s>,don,1,1.0067755997865636e-05
<s>,dont,117,0.0011779274517502794
<s>,down,7,7.047429198505945e-05
<s>,dozen,1,1.0067755997865636e-05
<s>,drink,7,7.047429198505945e-05
<s>,drive,1,1.0067755997865636e-05
<s>,drunk,4,4.0271023991462545e-05
<s>,dun,1,1.0067755997865636e-05
<s>,during,7,7.047429198505945e-05
<s>,e,1,1.0067755997865636e-05
<s>,each,6,6.0406535987193814e-05
<s>,eat,6,6.0406535987193814e-05
<s>,edna,5,5.0338779989328176e-05
<s>,eight,2,2.0135511995731273e-05
<s>,eighteen,1,1.0067755997865636e-05
<s>,either,1,1.0067755997865636e-05
<s>,enjoying,1,1.0067755997865636e-05
<s>,enormous,2,2.0135511995731273e-05
<s>,es,1,1.0067755997865636e-05
<s>,especially,1,1.0067755997865636e-05
<s>,etienne,1,1.0067755997865636e-05
<s>,even,2,2.0135511995731273e-05
<s>,ever,2,2.0135511995731273e-05
<s>,every,6,6.0406535987193814e-05
<s>,everybody,7,7.047429198505945e-05
<s>,everybodys,2,2.0135511995731273e-05
<s>,everything,8,8.054204798292509e-05
<s>,exactly,1,1.0067755997865636e-05
<s>,except,1,1.0067755997865636e-05
<s>,externally,1,1.0067755997865636e-05
<s>,extraordinary,1,1.0067755997865636e-05
<s>,fake,1,1.0067755997865636e-05
<s>,false,1,1.0067755997865636e-05
<s>,fancy,1,1.0067755997865636e-05
<s>,far,1,1.0067755997865636e-05
<s>,feel,3,3.0203267993596907e-05
<s>,few,1,1.0067755997865636e-05
<s>,fifteen,2,2.0135511995731273e-05
<s>,fifty,2,2.0135511995731273e-05
<s>,fight,1,1.0067755997865636e-05
<s>,filling,1,1.0067755997865636e-05
<s>,finally,7,7.047429198505945e-05
<s>,find,1,1.0067755997865636e-05
<s>,fine,12,0.00012081307197438763
<s>,first,2,2.0135511995731273e-05
<s>,five,1,1.0067755997865636e-05
<s>,floating,1,1.0067755997865636e-05
<s>,following,1,1.0067755997865636e-05
<s>,food,1,1.0067755997865636e-05
<s>,for,14,0.0001409485839701189
<s>,forget,1,1.0067755997865636e-05
<s>,forgive,1,1.0067755997865636e-05
<s>,form,1,1.0067755997865636e-05
<s>,fortunate,1,1.0067755997865636e-05
<s>,forty,1,1.0067755997865636e-05
<s>,four,1,1.0067755997865636e-05
<s>,frances,7,7.047429198505945e-05
<s>,frankie,1,1.0067755997865636e-05
<s>,friends,1,1.0067755997865636e-05
<s>,frightful,1,1.0067755997865636e-05
<s>,frightfully,2,2.0135511995731273e-05
<s>,from,5,5.0338779989328176e-05
<s>,fun,1,1.0067755997865636e-05
<s>,funny,3,3.0203267993596907e-05
<s>,g,1,1.0067755997865636e-05
<s>,gad,1,1.0067755997865636e-05
<s>,gave,3,3.0203267993596907e-05
<s>,gentlemen,2,2.0135511995731273e-05
<s>,george,1,1.0067755997865636e-05
<s>,georges,1,1.0067755997865636e-05
<s>,georgette,7,7.047429198505945e-05
<s>,get,15,0.00015101633996798453
<s>,give,4,4.0271023991462545e-05
<s>,globos,2,2.0135511995731273e-05
<s>,go,29,0.00029196492393810346
<s>,god,4,4.0271023991462545e-05
<s>,goddam,1,1.0067755997865636e-05
<s>,going,10,0.00010067755997865635
<s>,good,45,0.0004530490199039536
<s>,got,3,3.0203267993596907e-05
<s>,gradually,1,1.0067755997865636e-05
<s>,grand,3,3.0203267993596907e-05
<s>,great,2,2.0135511995731273e-05
<s>,greek,1,1.0067755997865636e-05
<s>,guess,1,1.0067755997865636e-05
<s>,h,1,1.0067755997865636e-05
<s>,had,3,3.0203267993596907e-05
<s>,hadnt,1,1.0067755997865636e-05
<s>,hah,2,2.0135511995731273e-05
<s>,hahre,1,1.0067755997865636e-05
<s>,half,1,1.0067755997865636e-05
<s>,hampers,1,1.0067755997865636e-05
<s>,handkerchiefs,1,1.0067755997865636e-05
<s>,happy,1,1.0067755997865636e-05
<s>,hardly,1,1.0067755997865636e-05
<s>,harris,9,9.060980398079073e-05
<s>,harvey,3,3.0203267993596907e-05
<s>,has,1,1.0067755997865636e-05
<s>,hasnt,2,2.0135511995731273e-05
<s>,have,25,0.0002516938999466409
<s>,havent,8,8.054204798292509e-05
<s>,having,1,1.0067755997865636e-05
<s>,he,467,0.004701642051003252
<s>,heard,1,1.0067755997865636e-05
<s>,hed,3,3.0203267993596907e-05
<s>,hel,3,3.0203267993596907e-05
<s>,hell,5,5.0338779989328176e-05
<s>,hello,24,0.00024162614394877526
<s>,hendaye,1,1.0067755997865636e-05
<s>,her,14,0.0001409485839701189
<s>,here,18,0.00018121960796158146
<s>,heres,7,7.047429198505945e-05
<s>,hes,77,0.000775217211835654
<s>,hey,4,4.0271023991462545e-05
<s>,himself,1,1.0067755997865636e-05
<s>,his,31,0.0003121004359338347
<s>,hope,2,2.0135511995731273e-05
<s>,hot,1,1.0067755997865636e-05
<s>,hotel,1,1.0067755997865636e-05
<s>,how,65,0.0006544041398612664
<s>,howd,3,3.0203267993596907e-05
<s>,hows,5,5.0338779989328176e-05
<s>,hudson,1,1.0067755997865636e-05
<s>,huh,1,1.0067755997865636e-05
<s>,hullo,2,2.0135511995731273e-05
<s>,hurray,2,2.0135511995731273e-05
<s>,i,1040,0.010470466237780262
<s>,id,21,0.00021142287595517836
<s>,if,22,0.00022149063195304398
<s>,ill,50,0.0005033877998932818
<s>,im,121,0.001218198475741742
<s>,in,55,0.00055372657988261
