book_id,chap_num,para_num,sent_num,token_num,pos,term_str
thesunalsorises,1,0,0,0,NNP,robert
thesunalsorises,1,0,0,1,NNP,cohn
thesunalsorises,1,0,0,2,VBD,was
thesunalsorises,1,0,0,3,RB,once
thesunalsorises,1,0,0,4,JJ,middleweight
thesunalsorises,1,0,0,5,VBG,boxing
thesunalsorises,1,0,0,6,NN,champion
thesunalsorises,1,0,0,7,IN,of
thesunalsorises,1,0,0,8,NNP,princeton
thesunalsorises,1,0,1,0,VBP,do
thesunalsorises,1,0,1,1,RB,not
thesunalsorises,1,0,1,2,VB,think
thesunalsorises,1,0,1,3,IN,that
thesunalsorises,1,0,1,4,PRP,i
thesunalsorises,1,0,1,5,VBP,am
thesunalsorises,1,0,1,6,RB,very
thesunalsorises,1,0,1,7,RB,much
thesunalsorises,1,0,1,8,VBN,impressed
thesunalsorises,1,0,1,9,IN,by
thesunalsorises,1,0,1,10,DT,that
thesunalsorises,1,0,1,11,IN,as
thesunalsorises,1,0,1,12,DT,a
thesunalsorises,1,0,1,13,NN,boxing
thesunalsorises,1,0,1,14,NN,title
thesunalsorises,1,0,1,16,CC,but
thesunalsorises,1,0,1,17,PRP,it
thesunalsorises,1,0,1,18,VBD,meant
thesunalsorises,1,0,1,19,DT,a
thesunalsorises,1,0,1,20,NN,lot
thesunalsorises,1,0,1,21,TO,to
thesunalsorises,1,0,1,22,NNP,cohn
thesunalsorises,1,0,2,0,PRP,he
thesunalsorises,1,0,2,1,VBD,cared
thesunalsorises,1,0,2,2,NN,nothing
thesunalsorises,1,0,2,3,IN,for
thesunalsorises,1,0,2,4,NN,boxing
thesunalsorises,1,0,2,6,IN,in
thesunalsorises,1,0,2,7,NN,fact
thesunalsorises,1,0,2,8,PRP,he
thesunalsorises,1,0,2,9,VBD,disliked
thesunalsorises,1,0,2,10,PRP,it
thesunalsorises,1,0,2,12,CC,but
thesunalsorises,1,0,2,13,PRP,he
thesunalsorises,1,0,2,14,VBD,learned
thesunalsorises,1,0,2,15,PRP,it
thesunalsorises,1,0,2,16,RB,painfully
thesunalsorises,1,0,2,17,CC,and
thesunalsorises,1,0,2,18,RB,thoroughly
thesunalsorises,1,0,2,19,TO,to
