line_num,line_str,n,chap_num
86,1,1,1
87,,0,1
88,,0,1
89,Robert Cohn was once middleweight boxing champion of Princeton. Do not,70,1
90,"think that I am very much impressed by that as a boxing title, but it",69,1
91,"meant a lot to Cohn. He cared nothing for boxing, in fact he disliked",69,1
92,"it, but he learned it painfully and thoroughly to counteract the feeling",72,1
93,of inferiority and shyness he had felt on being treated as a Jew at,67,1
94,Princeton. There was a certain inner comfort in knowing he could knock,70,1
95,"down anybody who was snooty to him, although, being very shy and a",66,1
96,"thoroughly nice boy, he never fought except in the gym. He was Spider",69,1
97,Kelly’s star pupil. Spider Kelly taught all his young gentlemen to box,70,1
98,"like featherweights, no matter whether they weighed one hundred and five",72,1
99,or two hundred and five pounds. But it seemed to fit Cohn. He was really,72,1
100,very fast. He was so good that Spider promptly overmatched him and got,70,1
101,his nose permanently flattened. This increased Cohn’s distaste for,66,1
102,"boxing, but it gave him a certain satisfaction of some strange sort, and",72,1
103,it certainly improved his nose. In his last year at Princeton he read,69,1
104,too much and took to wearing spectacles. I never met any one of his,67,1
105,class who remembered him. They did not even remember that he was,64,1
106,middleweight boxing champion.,29,1
107,,0,1
108,"I mistrust all frank and simple people, especially when their stories",69,1
109,"hold together, and I always had a suspicion that perhaps Robert Cohn had",72,1
110,"never been middleweight boxing champion, and that perhaps a horse had",69,1
111,"stepped on his face, or that maybe his mother had been frightened or",68,1
112,"seen something, or that he had, maybe, bumped into something as a young",71,1
113,"child, but I finally had somebody verify the story from Spider Kelly.",69,1
114,Spider Kelly not only remembered Cohn. He had often wondered what had,69,1
115,become of him.,14,1
116,,0,1
117,"Robert Cohn was a member, through his father, of one of the richest",67,1
118,"Jewish families in New York, and through his mother of one of the",65,1
119,"oldest. At the military school where he prepped for Princeton, and",66,1
120,"played a very good end on the football team, no one had made him",64,1
121,"race-conscious. No one had ever made him feel he was a Jew, and hence",69,1
122,"any different from anybody else, until he went to Princeton. He was a",69,1
123,"nice boy, a friendly boy, and very shy, and it made him bitter. He took",71,1
124,"it out in boxing, and he came out of Princeton with painful",59,1
125,"self-consciousness and the flattened nose, and was married by the first",71,1
126,"girl who was nice to him. He was married five years, had three children,",72,1
127,"lost most of the fifty thousand dollars his father left him, the balance",72,1
128,"of the estate having gone to his mother, hardened into a rather",63,1
129,unattractive mould under domestic unhappiness with a rich wife; and just,72,1
130,when he had made up his mind to leave his wife she left him and went off,72,1
131,with a miniature-painter. As he had been thinking for months about,66,1
132,leaving his wife and had not done it because it would be too cruel to,69,1
133,"deprive her of himself, her departure was a very healthful shock.",65,1
134,,0,1
135,The divorce was arranged and Robert Cohn went out to the Coast. In,66,1
136,"California he fell among literary people and, as he still had a little",70,1
137,"of the fifty thousand left, in a short time he was backing a review of",70,1
138,"the Arts. The review commenced publication in Carmel, California, and",69,1
139,"finished in Provincetown, Massachusetts. By that time Cohn, who had been",72,1
140,"regarded purely as an angel, and whose name had appeared on the",63,1
141,"editorial page merely as a member of the advisory board, had become the",71,1
142,sole editor. It was his money and he discovered he liked the authority,70,1
143,of editing. He was sorry when the magazine became too expensive and he,70,1
144,had to give it up.,18,1
145,,0,1
146,"By that time, though, he had other things to worry about. He had been",69,1
147,taken in hand by a lady who hoped to rise with the magazine. She was,68,1
148,"very forceful, and Cohn never had a chance of not being taken in hand.",70,1
149,Also he was sure that he loved her. When this lady saw that the magazine,72,1
150,"was not going to rise, she became a little disgusted with Cohn and",66,1
151,decided that she might as well get what there was to get while there was,72,1
152,"still something available, so she urged that they go to Europe, where",69,1
153,"Cohn could write. They came to Europe, where the lady had been educated,",72,1
154,"and stayed three years. During these three years, the first spent in",68,1
155,"travel, the last two in Paris, Robert Cohn had two friends, Braddocks",69,1
156,and myself. Braddocks was his literary friend. I was his tennis friend.,71,1
157,,0,1
158,"The lady who had him, her name was Frances, found toward the end of the",71,1
159,"second year that her looks were going, and her attitude toward Robert",69,1
160,changed from one of careless possession and exploitation to the absolute,72,1
161,determination that he should marry her. During this time Robert’s mother,72,1
162,"had settled an allowance on him, about three hundred dollars a month.",69,1
163,During two years and a half I do not believe that Robert Cohn looked at,71,1
164,"another woman. He was fairly happy, except that, like many people living",72,1
165,"in Europe, he would rather have been in America, and he had discovered",70,1
166,"writing. He wrote a novel, and it was not really such a bad novel as the",72,1
167,"critics later called it, although it was a very poor novel. He read many",72,1
168,"books, played bridge, played tennis, and boxed at a local gymnasium.",68,1
169,,0,1
170,I first became aware of his lady’s attitude toward him one night after,70,1
171,the three of us had dined together. We had dined at l’Avenue’s and,66,1
172,afterward went to the Café de Versailles for coffee. We had several,67,1
173,"_fines_ after the coffee, and I said I must be going. Cohn had been",67,1
174,talking about the two of us going off somewhere on a weekend trip. He,69,1
175,wanted to get out of town and get in a good walk. I suggested we fly to,71,1
176,"Strasbourg and walk up to Saint Odile, or somewhere or other in Alsace.",71,1
177,"“I know a girl in Strasbourg who can show us the town,” I said.",63,1
178,,0,1
179,Somebody kicked me under the table. I thought it was accidental and went,72,1
180,on: “She’s been there two years and knows everything there is to know,69,1
181,about the town. She’s a swell girl.”,36,1
182,,0,1
183,"I was kicked again under the table and, looking, saw Frances, Robert’s",70,1
184,"lady, her chin lifting and her face hardening.",46,1
