,token_str,pos,n
0,Robert,NNP,6
1,Cohn,NNP,4
2,was,VBD,3
3,once,RB,4
4,middleweight,JJ,12
5,boxing,VBG,6
6,champion,NN,8
7,of,IN,2
8,Princeton,NNP,9
10,Do,VBP,2
11,not,RB,3
12,think,VB,5
13,that,IN,4
14,I,PRP,1
15,am,VBP,2
16,very,RB,4
17,much,RB,4
18,impressed,VBN,9
19,by,IN,2
20,that,DT,4
21,as,IN,2
22,a,DT,1
23,boxing,NN,6
24,title,NN,5
26,but,CC,3
27,it,PRP,2
28,meant,VBD,5
29,a,DT,1
30,lot,NN,3
31,to,TO,2
32,Cohn,NNP,4
34,He,PRP,2
35,cared,VBD,5
36,nothing,NN,7
37,for,IN,3
38,boxing,NN,6
40,in,IN,2
41,fact,NN,4
42,he,PRP,2
43,disliked,VBD,8
44,it,PRP,2
46,but,CC,3
47,he,PRP,2
48,learned,VBD,7
49,it,PRP,2
50,painfully,RB,9
51,and,CC,3
52,thoroughly,RB,10
53,to,TO,2
54,counteract,VB,10
55,the,DT,3
56,feeling,NN,7
57,of,IN,2
58,inferiority,NN,11
59,and,CC,3
60,shyness,NN,7
61,he,PRP,2
62,had,VBD,3
63,felt,VBN,4
64,on,IN,2
65,being,VBG,5
66,treated,VBN,7
67,as,IN,2
68,a,DT,1
69,Jew,NNP,3
70,at,IN,2
71,Princeton,NNP,9
73,There,EX,5
74,was,VBD,3
75,a,DT,1
76,certain,JJ,7
77,inner,JJ,5
78,comfort,NN,7
79,in,IN,2
80,knowing,VBG,7
81,he,PRP,2
82,could,MD,5
83,knock,VB,5
84,down,RP,4
85,anybody,NN,7
86,who,WP,3
87,was,VBD,3
88,snooty,VBN,6
89,to,TO,2
90,him,PRP,3
92,although,IN,8
94,being,VBG,5
95,very,RB,4
96,shy,RB,3
97,and,CC,3
98,a,DT,1
99,thoroughly,JJ,10
100,nice,JJ,4
101,boy,NN,3
103,he,PRP,2
104,never,RB,5
105,fought,VBD,6
106,except,IN,6
107,in,IN,2
108,the,DT,3
109,gym,NN,3
111,He,PRP,2
112,was,VBD,3
113,Spider,NNP,6
114,Kelly,NNP,5
116,s,VBD,1
117,star,NN,4
118,pupil,NN,5
120,Spider,NNP,6
121,Kelly,NNP,5
122,taught,VBD,6
123,all,DT,3
124,his,PRP$,3
125,young,JJ,5
126,gentlemen,NNS,9
127,to,TO,2
128,box,VB,3
129,like,IN,4
130,featherweights,NNS,14
132,no,DT,2
133,matter,NN,6
134,whether,IN,7
135,they,PRP,4
136,weighed,VBD,7
137,one,CD,3
138,hundred,CD,7
139,and,CC,3
140,five,CD,4
141,or,CC,2
142,two,CD,3
143,hundred,CD,7
144,and,CC,3
145,five,CD,4
146,pounds,NNS,6
148,But,CC,3
149,it,PRP,2
150,seemed,VBD,6
151,to,TO,2
152,fit,VB,3
153,Cohn,NNP,4
155,He,PRP,2
156,was,VBD,3
157,really,RB,6
158,very,RB,4
159,fast,RB,4
161,He,PRP,2
162,was,VBD,3
163,so,RB,2
164,good,JJ,4
165,that,IN,4
166,Spider,NNP,6
167,promptly,RB,8
168,overmatched,VBD,11
169,him,PRP,3
170,and,CC,3
171,got,VBD,3
172,his,PRP$,3
173,nose,JJ,4
174,permanently,RB,11
175,flattened,VBN,9
177,This,DT,4
178,increased,VBD,9
179,Cohn,NNP,4
181,s,VBD,1
182,distaste,NN,8
183,for,IN,3
184,boxing,NN,6
186,but,CC,3
187,it,PRP,2
188,gave,VBD,4
189,him,PRP,3
190,a,DT,1
191,certain,JJ,7
