,Sentence,sentiment,Sentiment Score,Subjectivity
0, Robert Cohn was once middleweight boxing champion of Princeton.,0.5994,0.0,0.0
1,"Do not think that I am very much impressed by that as a boxing title, but it meant a lot to Cohn.",0.2935,1.0,1.0
2,"He cared nothing for boxing, in fact he disliked it, but he learned it painfully and thoroughly to counteract the feeling of inferiority and shyness he had felt on being treated as a Jew at Princeton.",-0.8555,-0.44999999999999996,0.75
3,"There was a certain inner comfort in knowing he could knock down anybody who was snooty to him, although, being very shy and a thoroughly nice boy, he never fought except in the gym.",0.7478,0.0017460317460317176,0.5353968253968253
4,He was Spider Kelly’s star pupil.,0.0,0.0,0.0
5,"Spider Kelly taught all his young gentlemen to box like featherweights, no matter whether they weighed one hundred and five or two hundred and five pounds.",0.1027,0.1,0.4
6,But it seemed to fit Cohn.,0.5023,0.4,0.4
7,He was really very fast.,0.0,0.26,0.78
8,He was so good that Spider promptly overmatched him and got his nose permanently flattened.,0.5777,0.7,0.6000000000000001
9,"This increased Cohn’s distaste for boxing, but it gave him a certain satisfaction of some strange sort, and it certainly improved his nose.",0.9201,0.1261904761904762,0.4309523809523809
10,In his last year at Princeton he read too much and took to wearing spectacles.,0.0,0.1,0.13333333333333333
11,I never met any one of his class who remembered him.,0.0,0.0,0.0
12,They did not even remember that he was middleweight boxing champion.,0.5994,0.0,0.0
13,"I mistrust all frank and simple people, especially when their stories hold together, and I always had a suspicion that perhaps Robert Cohn had never been middleweight boxing champion, and that perhaps a horse had stepped on his face, or that maybe his mother had been frightened or seen something, or that he had, maybe, bumped into something as a young child, but I finally had somebody verify the story from Spider Kelly.",-0.0772,0.025,0.6892857142857143
14,Spider Kelly not only remembered Cohn.,0.0,0.0,1.0
15,He had often wondered what had become of him.,0.0,0.0,0.0
16,"Robert Cohn was a member, through his father, of one of the richest Jewish families in New York, and through his mother of one of the oldest.",0.5267,0.06818181818181818,0.22727272727272727
17,"At the military school where he prepped for Princeton, and played a very good end on the football team, no one had made him race-conscious.",0.5256,0.40499999999999997,0.44000000000000006
18,"No one had ever made him feel he was a Jew, and hence any different from anybody else, until he went to Princeton.",-0.296,0.0,0.6
19,"He was a nice boy, a friendly boy, and very shy, and it made him bitter.",0.228,0.05624999999999999,0.6625
20,"He took it out in boxing, and he came out of Princeton with painful self-consciousness and the flattened nose, and was married by the first girl who was nice to him.",-0.0258,0.1,0.6208333333333333
21,"He was married five years, had three children, lost most of the fifty thousand dollars his father left him, the balance of the estate having gone to his mother, hardened into a rather unattractive mould under domestic unhappiness with a rich wife; and just when he had made up his mind to leave his wife she left him and went off with a miniature-painter.",-0.6369,0.1875,0.26666666666666666
22,"As he had been thinking for months about leaving his wife and had not done it because it would be too cruel to deprive her of himself, her departure was a very healthful shock.",-0.8683,-0.4,0.65
23,The divorce was arranged and Robert Cohn went out to the Coast.,0.0,0.0,0.0
24,"In California he fell among literary people and, as he still had a little of the fifty thousand left, in a short time he was backing a review of the Arts.",0.0258,-0.021875,0.22499999999999998
25,"The review commenced publication in Carmel, California, and finished in Provincetown, Massachusetts.",0.0,0.0,0.0
26,"By that time Cohn, who had been regarded purely as an angel, and whose name had appeared on the editorial page merely as a member of the advisory board, had become the sole editor.",0.0,-0.09523809523809523,0.4166666666666667
27,It was his money and he discovered he liked the authority of editing.,0.4767,0.6,0.8
28,He was sorry when the magazine became too expensive and he had to give it up.,-0.0772,-0.5,0.85
29,"By that time, though, he had other things to worry about.",-0.4404,-0.125,0.375
30,He had been taken in hand by a lady who hoped to rise with the magazine.,0.7003,0.0,0.0
31,"She was very forceful, and Cohn never had a chance of not being taken in hand.",0.3527,0.2,0.3
32,Also he was sure that he loved her.,0.7351,0.6,0.8444444444444444
33,"When this lady saw that the magazine was not going to rise, she became a little disgusted with Cohn and decided that she might as well get what there was to get while there was still something available, so she urged that they go to Europe, where Cohn could write.",-0.2516,-0.2625,0.6333333333333333
