,token_str,n,Sentiment Score,Subjectivity
0,Robert,108,0.0,0.0
1,Cohn,222,0.0,0.0
2,middleweight,3,0.0,0.0
3,boxing,7,0.0,0.0
4,champion,3,0.0,0.0
5,Princeton,8,0.0,0.0
6,Do,59,0.0,0.0
7,think,111,0.0,0.0
8,I,2329,0.0,0.0
9,much,62,0.2,0.2
10,impressed,5,1.0,1.0
11,title,6,0.0,0.0
12,",",3674,0.0,0.0
13,meant,11,0.0,0.0
14,lot,30,0.0,0.0
15,He,530,0.0,0.0
16,cared,5,0.0,0.0
17,nothing,25,0.0,0.0
18,fact,4,0.0,0.0
19,disliked,1,-0.2,0.6
20,learned,8,0.0,0.0
21,painfully,1,-0.7,0.9
22,thoroughly,2,0.0,0.0
23,counteract,1,0.0,0.0
24,feeling,25,0.0,0.0
25,inferiority,1,0.0,0.0
26,shyness,1,0.0,0.0
27,felt,49,0.0,0.0
28,treated,2,0.0,0.0
29,Jew,5,0.0,0.0
30,There,146,0.0,0.0
31,certain,13,0.21428571428571427,0.5714285714285714
32,inner,2,0.0,0.16666666666666666
33,comfort,1,0.0,0.0
34,knowing,3,0.0,0.0
35,could,126,0.0,0.0
36,knock,9,0.0,0.0
37,anybody,16,0.0,0.0
38,snooty,1,0.0,0.0
39,although,4,0.0,0.0
40,shy,4,-0.5,0.5
41,nice,53,0.6,1.0
42,boy,28,0.0,0.0
43,never,92,0.0,0.0
44,fought,2,0.0,0.0
45,except,15,0.0,0.0
46,gym,1,0.0,0.0
47,Spider,5,0.0,0.0
48,Kelly,4,0.0,0.0
49,’,2093,0.0,0.0
50,star,1,0.0,0.0
51,pupil,1,0.0,0.0
52,taught,1,0.0,0.0
53,young,16,0.1,0.4
54,gentlemen,5,0.0,0.0
55,box,10,0.0,0.0
56,like,209,0.0,0.0
57,featherweights,1,0.0,0.0
58,matter,29,0.0,0.0
59,whether,8,0.0,0.0
60,weighed,1,0.0,0.0
61,one,215,0.0,0.0
62,hundred,21,0.0,0.0
63,five,14,0.0,0.0
64,two,102,0.0,0.0
65,pounds,5,0.0,0.0
66,But,64,0.0,0.0
67,seemed,31,0.0,0.0
68,fit,3,0.4,0.4
69,really,50,0.2,0.2
70,fast,8,0.2,0.6
71,good,161,0.7,0.6000000000000001
72,promptly,1,0.0,0.0
73,overmatched,1,0.0,0.0
74,got,159,0.0,0.0
75,nose,10,0.0,0.0
76,permanently,1,0.0,0.0
77,flattened,4,0.0,0.0
78,This,36,0.0,0.0
79,increased,2,0.0,0.0
80,distaste,1,0.0,0.0
81,gave,40,0.0,0.0
82,satisfaction,1,0.0,0.0
83,strange,9,-0.05,0.15
84,sort,29,0.0,0.0
85,certainly,7,0.21428571428571427,0.5714285714285714
86,improved,1,0.0,0.0
87,In,54,0.0,0.0
88,last,33,0.0,0.06666666666666667
89,year,11,0.0,0.0
90,read,50,0.0,0.0
91,took,85,0.0,0.0
92,wearing,5,0.0,0.0
93,spectacles,5,0.0,0.0
94,met,14,0.0,0.0
95,class,4,0.0,0.0
96,remembered,5,0.0,0.0
97,They,213,0.0,0.0
98,even,15,0.0,0.0
99,remember,23,0.0,0.0
100,mistrust,1,0.0,0.0
101,frank,1,0.0,0.0
102,simple,5,0.0,0.35714285714285715
103,people,113,0.0,0.0
104,especially,1,0.0,1.0
105,stories,4,0.0,0.0
106,hold,7,0.0,0.0
107,together,27,0.0,0.0
108,always,62,0.0,0.0
109,suspicion,1,0.0,0.0
110,perhaps,9,0.0,0.0
111,horse,18,0.0,0.0
112,stepped,6,0.0,0.0
113,face,64,0.0,0.0
114,maybe,9,0.0,0.0
115,mother,12,0.0,0.0
116,frightened,3,0.0,0.0
117,seen,34,0.0,0.0
118,something,68,0.0,0.0
119,bumped,1,0.0,0.0
120,child,2,0.0,0.0
121,finally,17,0.0,1.0
122,somebody,8,0.0,0.0
123,verify,1,0.0,0.0
124,story,6,0.0,0.0
125,often,5,0.0,0.0
126,wondered,3,0.0,0.0
127,become,3,0.0,0.0
128,member,2,0.0,0.0
129,father,4,0.0,0.0
130,richest,1,0.0,0.0
131,Jewish,5,0.0,0.0
132,families,3,0.0,0.0
133,New,15,0.13636363636363635,0.45454545454545453
134,York,14,0.0,0.0
135,oldest,2,0.0,0.0
136,At,33,0.0,0.0
137,military,5,-0.1,0.1
138,school,5,0.0,0.0
139,prepped,1,0.0,0.0
140,played,6,0.0,0.0
141,end,24,0.0,0.0
142,football,5,0.0,0.0
143,team,2,0.0,0.0
144,made,67,0.0,0.0
145,race-conscious,1,0.0,0.0
146,No,121,0.0,0.0
147,ever,52,0.0,0.0
148,feel,51,0.0,0.0
149,hence,1,0.0,0.0
150,different,6,0.0,0.6
151,else,18,0.0,0.0
152,went,297,0.0,0.0
153,friendly,3,0.375,0.5
154,bitter,4,-0.1,0.5
155,came,188,0.0,0.0
156,painful,2,-0.7,0.9
157,self-consciousness,1,0.0,0.0
158,married,9,0.25,0.25
159,first,50,0.25,0.3333333333333333
160,girl,43,0.0,0.0
161,years,26,0.0,0.0
162,three,60,0.0,0.0
163,children,14,0.0,0.0
164,lost,9,0.0,0.0
165,fifty,7,0.0,0.0
166,thousand,6,0.0,0.0
167,dollars,4,0.0,0.0
168,left,48,0.0,0.0
169,balance,3,0.0,0.0
170,estate,1,0.0,0.0
171,gone,33,0.0,0.0
172,hardened,1,0.0,0.0
173,rather,50,0.0,0.0
174,unattractive,1,0.0,0.0
175,mould,1,0.0,0.0
176,domestic,1,0.0,0.1
177,unhappiness,1,0.0,0.0
178,rich,6,0.375,0.75
179,wife,18,0.0,0.0
180,;,19,0.0,0.0
181,mind,24,0.0,0.0
182,leave,19,0.0,0.0
183,miniature-painter,1,0.0,0.0
184,As,27,0.0,0.0
185,thinking,11,0.0,0.0
186,months,3,0.0,0.0
187,leaving,5,0.0,0.0
188,done,13,0.0,0.0
189,would,175,0.0,0.0
190,cruel,1,-1.0,1.0
191,deprive,1,0.0,0.0
192,departure,1,0.0,0.0
193,healthful,1,0.0,0.0
194,shock,3,0.0,0.0
195,The,459,0.0,0.0
196,divorce,4,0.0,0.0
197,arranged,5,0.0,0.0
198,Coast,1,0.0,0.0
199,California,3,0.0,0.0
200,fell,9,0.0,0.0
201,among,8,0.0,0.0
202,literary,5,0.1,0.1
203,still,27,0.0,0.0
204,little,105,-0.1875,0.5
205,short,8,0.0,0.3
206,time,106,0.0,0.0
207,backing,1,0.0,0.0
208,review,2,0.0,0.0
209,Arts,1,0.0,0.0
210,commenced,8,0.0,0.0
211,publication,1,0.0,0.0
212,Carmel,2,0.0,0.0
213,finished,10,0.0,0.0
214,Provincetown,2,0.0,0.0
215,Massachusetts,1,0.0,0.0
216,By,7,0.0,0.0
217,regarded,1,0.0,0.0
218,purely,1,0.21428571428571427,0.5
219,angel,1,0.0,0.0
220,whose,1,0.0,0.0
221,name,21,0.0,0.0
222,appeared,3,0.0,0.0
223,editorial,1,0.0,0.0
224,page,1,0.0,0.0
225,merely,1,-0.5,0.5
226,advisory,1,0.0,0.0
227,board,3,0.0,0.0
228,sole,1,0.0,0.25
229,editor,1,0.0,0.0
230,It,377,0.0,0.0
231,money,49,0.0,0.0
232,discovered,4,0.0,0.0
233,liked,21,0.6,0.8
234,authority,2,0.0,0.0
235,editing,1,0.0,0.0
236,sorry,14,-0.5,1.0
237,magazine,6,0.0,0.0
238,became,11,0.0,0.0
239,expensive,3,-0.5,0.7
240,give,42,0.0,0.0
241,though,52,0.0,0.0
242,things,38,0.0,0.0
243,worry,7,0.0,0.0
244,taken,10,0.0,0.0
245,hand,58,0.0,0.0
246,lady,18,0.0,0.0
247,hoped,5,0.0,0.0
248,rise,5,0.0,0.0
249,She,169,0.0,0.0
250,forceful,1,0.0,0.0
251,chance,8,0.0,0.0
252,Also,3,0.0,0.0
253,sure,25,0.5,0.8888888888888888
254,loved,11,0.7,0.8
