term_id,term_str,n
0,the,4484
1,i,2334
2,and,2290
3,to,1590
4,a,1534
5,you,1178
6,was,1165
7,it,1155
8,of,1125
9,he,1088
10,in,1040
11,said,966
12,t,715
13,s,679
14,on,639
15,we,616
16,that,603
17,had,478
18,at,476
19,with,474
20,up,469
21,were,439
22,all,435
23,brett,432
24,him,426
25,not,418
26,me,410
27,his,410
28,out,390
29,they,382
30,for,372
31,bill,344
32,she,324
33,there,322
34,went,298
35,down,292
36,don,284
37,have,270
38,one,262
39,what,251
40,mike,251
41,them,248
42,bull,244
43,my,240
44,do,240
45,go,237
46,from,236
47,be,234
48,good,232
49,her,231
50,cohn,228
51,like,223
52,as,219
53,about,218
54,so,218
55,is,215
56,know,212
57,did,208
58,get,204
59,no,201
60,then,193
61,going,193
62,back,191
63,but,190
64,would,188
65,came,188
66,very,172
67,come,170
68,see,164
69,into,163
70,got,162
71,m,157
72,just,155
73,when,154
74,been,153
75,over,150
76,some,147
77,asked,147
78,re,145
79,this,144
80,looked,138
81,us,130
82,right,130
83,could,129
84,how,128
85,ll,128
86,time,126
87,ve,126
88,people,125
89,any,125
90,jake,123
91,want,122
92,can,122
93,through,122
94,say,121
95,well,120
96,an,119
97,off,118
98,oh,118
99,think,116
100,here,116
101,yes,115
102,where,115
103,romero,113
104,let,113
105,two,112
106,robert,110
107,too,108
108,little,108
109,by,107
110,put,107
111,never,105
112,now,103
113,their,102
114,around,102
115,room,96
116,if,96
117,street,96
118,table,95
119,wine,95
120,night,93
121,are,93
122,way,90
123,drink,89
124,d,88
125,hell,86
126,who,86
127,took,85
128,after,84
129,tell,84
130,started,83
131,saw,83
132,other,82
133,wanted,82
134,why,81
135,again,80
136,long,80
137,crowd,80
138,look,79
139,another,79
140,hotel,78
141,away,78
142,town,77
143,sat,76
144,looking,76
145,only,76
146,something,75
147,big,75
148,man,74
149,walked,74
150,turned,73
151,your,71
152,bulls,70
153,always,68
154,along,68
155,made,68
156,make,67
157,count,67
158,or,67
159,door,67
160,three,66
161,much,66
162,head,65
163,stairs,65
164,square,65
165,face,65
166,anything,65
167,road,65
168,nice,64
169,café,64
170,more,64
171,didn,64
172,morning,63
173,old,62
174,stood,62
175,really,62
176,must,61
177,take,61
178,under,60
179,hand,58
180,will,58
181,across,58
182,stopped,58
183,rather,58
184,bed,57
185,day,57
186,side,56
187,though,56
188,against,56
189,money,56
190,bottle,55
191,first,55
192,trees,55
193,white,54
194,ever,54
195,montoya,54
196,feel,54
197,car,53
198,fine,52
199,dark,52
200,while,51
201,ring,51
202,drunk,50
203,read,50
204,fight,50
205,left,49
206,thought,49
207,felt,49
208,thing,49
209,sitting,48
210,give,48
211,outside,48
212,damned,48
213,talk,48
214,hot,47
215,fiesta,47
216,coming,46
217,water,46
218,should,46
219,isn,45
220,girl,45
221,each,45
222,sure,44
223,bad,44
224,before,43
225,passed,43
226,eat,43
227,gave,43
228,bar,43
229,san,43
230,called,42
231,great,42
232,told,42
233,english,41
234,things,41
235,men,41
236,toward,41
237,behind,41
